ASPECT RATIOS FOR JACOBIAN
5.566572392037395 #749, triangle 250
3.335320884983227 #750, triangle 250
1.0343779890845743 #751, triangle 251
2.8348872180449995 #752, triangle 251
-0.5848184818481792 #753, triangle 251
-0.4925734459714951 #754, triangle 252
1.6735701041221152 #755, triangle 252
-0.31173786189871877 #756, triangle 252
3.169846934261309 #757, triangle 253
1.2818593314762996 #758, triangle 253
-0.4583295913785389 #759, triangle 253
-0.6464112406750231 #760, triangle 254
1.2241818538114908 #761, triangle 254
-0.046020103232816016 #762, triangle 254
1.97194092827002 #763, triangle 255
-0.07612078059071596 #764, triangle 255
1.06260548523207 #765, triangle 255
-0.03985745614036199 #766, triangle 256
3.1356357094405896 #767, triangle 256
-0.23518632268632106 #768, triangle 256
